dt_ms,view,marker_variant,aggregation_order,n_pairs,median_pair_delta,q25_pair_delta,q75_pair_delta,fraction_pairs_negative,n_cells,median_cell_delta,q25_cell_delta,q75_cell_delta,fraction_cells_negative,n_animal_pairs,median_animal_pair_delta,fraction_animal_pairs_negative,leave_one_animal_out_all_negative
0.025,xyz,seed_median_curve_persistent,curve_first,32,-0.16045034262721108,-0.30803609391599346,-0.011731345109096375,0.84375,12,-0.17610016083973518,-0.236840672380136,-0.10572158486421412,0.9166666666666666,8,-0.15943333718935082,0.875,True
0.025,xyz,seed_median_curve_persistent,marker_first,32,-0.10263332535904479,-0.25089700168778567,-0.03273356809480152,0.84375,12,-0.11686855039090602,-0.1998501265619973,-0.0779437997681399,0.9166666666666666,8,-0.10640990924203937,0.875,True
0.025,z,median_seed_isotonic,curve_first,32,-0.16123567358086596,-0.32720529666449977,0.029014515892908266,0.6875,12,-0.2143565507056277,-0.2723478321034093,-0.09804350109791404,0.8333333333333334,8,-0.17363976091722272,0.625,True
0.025,z,median_seed_isotonic,marker_first,32,-0.18691401774196628,-0.3718556099002733,0.026267073807779553,0.71875,12,-0.21517589055835812,-0.2982195463717382,-0.08404368233097859,0.8333333333333334,8,-0.15860376401010257,0.625,True
0.025,z,q25_seed_isotonic,curve_first,32,-0.1974817498196189,-0.35073496995979947,0.01719096864063932,0.71875,12,-0.24897852002435,-0.2946931214086076,-0.11708217963205149,0.8333333333333334,8,-0.17785084813881408,0.75,True
0.025,z,q25_seed_isotonic,marker_first,32,-0.26209410656683985,-0.40861049478398753,-0.07826560895953115,0.84375,12,-0.2754964218966628,-0.3591689591799885,-0.15365844193997227,0.9166666666666666,8,-0.17616645369220824,1.0,True
0.025,z,q75_seed_isotonic,curve_first,32,-0.13937463611105266,-0.2649035484071942,0.03356701163640348,0.6875,12,-0.14138123925849488,-0.22626642071781405,-0.07444407054227622,0.8333333333333334,8,-0.13583306709939186,0.625,True
0.025,z,q75_seed_isotonic,marker_first,32,-0.08514294901286482,-0.25296645489715786,0.04671144708392479,0.71875,12,-0.09863572660663142,-0.20468944943188017,-0.04122648765592129,0.8333333333333334,8,-0.09953836676354037,0.625,True
0.025,z,seed_median_curve_first,curve_first,32,-0.16134434179032614,-0.3319049597098984,0.029005739682440246,0.6875,12,-0.21401355089709712,-0.2689176070570336,-0.09815174958845557,0.8333333333333334,8,-0.17199532916344815,0.625,True
0.025,z,seed_median_curve_first,marker_first,32,-0.2419037206087756,-0.3943080270135146,-0.04824514510390655,0.75,12,-0.2640535839049076,-0.34671230087967353,-0.1517732299149083,0.9166666666666666,8,-0.16521801712995152,1.0,True
0.025,z,seed_median_curve_isotonic,curve_first,32,-0.1613728808834815,-0.3231143760056074,0.029005739682440246,0.6875,12,-0.2140278204436748,-0.2575136467648681,-0.09819117929601094,0.8333333333333334,8,-0.17199532916344815,0.625,True
0.025,z,seed_median_curve_isotonic,marker_first,32,-0.15959047360784673,-0.3332907146478052,0.018926084620706815,0.71875,12,-0.21229155055890006,-0.2846012748144049,-0.08312518295480167,0.8333333333333334,8,-0.16154310353787474,0.625,True
0.025,z,seed_median_curve_persistent,curve_first,32,-0.16134434179032614,-0.31260058594906526,0.029005739682440246,0.6875,12,-0.21336371701880322,-0.2528376472005016,-0.09815174958845557,0.8333333333333334,8,-0.17199532916344815,0.625,True
0.025,z,seed_median_curve_persistent,marker_first,32,-0.15254033603071782,-0.31172862374532245,0.018926084620706815,0.71875,12,-0.20269088056773377,-0.2857910624422119,-0.07345587523273492,0.8333333333333334,8,-0.16521801712995152,0.625,True
0.05,xy,median_seed_isotonic,curve_first,32,-0.14345204450979848,-0.2909233815892258,0.04436021281188488,0.6875,12,-0.14931510303352624,-0.20539603808631116,-0.09822774628452083,0.8333333333333334,8,-0.14397121966070128,1.0,True
0.05,xy,median_seed_isotonic,marker_first,32,-0.07347544623715346,-0.19995741742128936,0.0528109590059094,0.6875,12,-0.09497127291318617,-0.1519609239552359,-0.03742968011032346,0.8333333333333334,8,-0.0641834779712124,1.0,True
0.05,xy,q25_seed_isotonic,curve_first,32,-0.18094382174597634,-0.38012648047679054,0.002462749573335976,0.75,12,-0.20302976820012614,-0.23933750808313295,-0.13666855041248954,0.8333333333333334,8,-0.17875449757063053,1.0,True
0.05,xy,q25_seed_isotonic,marker_first,32,-0.1292760044827953,-0.3001136334588091,-0.03228507716761839,0.78125,12,-0.13714426167605875,-0.24798552376634087,-0.10058315346168636,0.9166666666666666,8,-0.1541534560772505,1.0,True
0.05,xy,q75_seed_isotonic,curve_first,32,-0.12215559131612713,-0.24664861854139686,0.052562514373424886,0.6875,12,-0.09110398417857678,-0.18077994278036158,-0.03933628505723218,0.75,8,-0.13700234048932725,1.0,True
0.05,xy,q75_seed_isotonic,marker_first,32,-0.005385901176772345,-0.12440273073935343,0.1130146410785818,0.5,12,-0.007674898783805617,-0.08664519512374469,0.053078731553823,0.5,8,-0.014505759202507615,0.75,True
0.05,xy,seed_median_curve_first,curve_first,32,-0.15390629497360142,-0.36922802273746447,-0.002455566331456688,0.75,12,-0.15769825470291965,-0.21348611754907948,-0.12193760155905316,0.9166666666666666,8,-0.1528628929239529,1.0,True
0.05,xy,seed_median_curve_first,marker_first,32,-0.11090905388862093,-0.24550703400060606,-0.0016618379585546517,0.75,12,-0.11058910555226502,-0.19660477011627717,-0.07505585791377356,0.9166666666666666,8,-0.121553476176955,1.0,True
0.05,xy,seed_median_curve_isotonic,curve_first,32,-0.1335121296681831,-0.19870581376861837,0.0443780176958267,0.6875,12,-0.13613144817410647,-0.15961818349110438,-0.09212480011885577,0.75,8,-0.14254263879164655,1.0,True
0.05,xy,seed_median_curve_isotonic,marker_first,32,-0.07190444890299719,-0.17354800135769444,0.052313581723171854,0.65625,12,-0.1012923971269926,-0.1314402462406021,-0.024146494838739638,0.8333333333333334,8,-0.05698826684593897,1.0,True
0.05,xy,seed_median_curve_persistent,curve_first,32,-0.13048815005528008,-0.19870581376861837,0.01974520686277769,0.6875,12,-0.1274452002479683,-0.15735019878142711,-0.0837321614046439,0.8333333333333334,8,-0.13798732716859602,1.0,True
0.05,xy,seed_median_curve_persistent,marker_first,32,-0.07717999763800576,-0.17354800135769444,0.052313581723171854,0.6875,12,-0.10304460710526794,-0.11171577138957872,-0.0366573963497811,0.8333333333333334,8,-0.06398070560322529,1.0,True
0.05,xyz,median_seed_isotonic,curve_first,32,-0.1556876511196646,-0.3159882594798645,-0.01076397624045014,0.8125,12,-0.1606947751181726,-0.2347409894735587,-0.09654278868290744,0.9166666666666666,8,-0.15119483478487739,0.875,True
0.05,xyz,median_seed_isotonic,marker_first,32,-0.12443301543383967,-0.36815031314487856,-0.03770172134232477,0.8125,12,-0.13751556070126023,-0.2453780971150668,-0.08125555383849728,0.9166666666666666,8,-0.13201677200721895,0.875,True
0.05,xyz,q25_seed_isotonic,curve_first,32,-0.1729468885067863,-0.35495130674931985,-0.02837860554845295,0.84375,12,-0.2185324031285965,-0.3159554931578646,-0.13785594968514306,0.9166666666666666,8,-0.16175403086939447,0.875,True
0.05,xyz,q25_seed_isotonic,marker_first,32,-0.21187531492382178,-0.37888140278000276,-0.09126015510144417,0.875,12,-0.23730101523790864,-0.3304449304807889,-0.14289766894723277,1.0,8,-0.16536794291316306,1.0,True
0.05,xyz,q75_seed_isotonic,curve_first,32,-0.12990920467735273,-0.2989811307814715,0.022398145838457922,0.6875,12,-0.12118188704946567,-0.22162548802343815,-0.04731596500508436,0.75,8,-0.13890629488509387,0.625,True
0.05,xyz,q75_seed_isotonic,marker_first,32,-0.07142579818968253,-0.2766177005429956,0.04417989499820785,0.71875,12,-0.10203378755056575,-0.15281095306188014,-0.03401827577952307,0.75,8,-0.05113029570786118,0.625,False
0.05,xyz,seed_median_curve_first,curve_first,32,-0.1599891713872602,-0.3160536384679274,-0.011645288341417842,0.84375,12,-0.17878343530002072,-0.2968661569382413,-0.11570560994374471,0.9166666666666666,8,-0.15106940848160738,0.875,True
