biological_pair_key,path_family,path_progress,wt_cell_id,sca_cell_id,A_isi_v1_1_weighted_median,A_active_weighted_median,rheobase_J_weighted_median,active_support_rate_hz_weighted_median,mean_isi_ms_weighted_median,occupancy_fraction_weighted_median
WT_03__TO__SCA3_02,coupled,0.225,WT_03,SCA3_02,0.13733523691446445,0.09509150336433111,1.426766334128454,79.82190975061661,10.81413389279073,0.9861552907355806
WT_03__TO__SCA3_02,coupled,0.25,WT_03,SCA3_02,0.13953256955108723,0.10965572162575765,1.2982349693861026,77.28412292682363,10.922060929613234,0.986857451846415
WT_03__TO__SCA3_02,coupled,0.275,WT_03,SCA3_02,0.10661328603079094,0.12429198781095051,1.2062711433339186,74.69661319156162,10.945341712667611,0.9863250921516584
WT_03__TO__SCA3_02,coupled,0.3,WT_03,SCA3_02,0.1285690398751975,0.1390228839460765,1.1205340346706842,73.18380951591412,11.093456942284767,0.9830413708357736
WT_03__TO__SCA3_02,coupled,0.325,WT_03,SCA3_02,0.0972441932552433,0.14269840742765424,1.0467506575037664,71.64077309469218,11.14577326267181,0.9901338665924532
WT_03__TO__SCA3_02,coupled,0.35,WT_03,SCA3_02,0.12512159684190904,0.15774661096081002,1.0035182099450255,68.91795589926112,11.278191578857594,0.9880915880276224
WT_03__TO__SCA3_02,coupled,0.375,WT_03,SCA3_02,0.13232457174905102,0.17295344134850407,0.99520947392983,67.29995884121189,11.40296201381619,0.989711172283722
WT_03__TO__SCA3_02,coupled,0.4,WT_03,SCA3_02,0.10363793615747413,0.18869965226383567,0.953990353854446,65.64862753567043,11.491269662398368,0.981541846659979
WT_03__TO__SCA3_02,coupled,0.425,WT_03,SCA3_02,0.09404646038256571,0.20431514798498773,1.035481463122384,63.96292112400536,11.572389480242125,0.982965136993674
WT_03__TO__SCA3_02,coupled,0.45,WT_03,SCA3_02,0.08275656477231667,0.22030147686868365,1.1447100492207514,62.24175495752597,11.65691419999216,0.988589647021353
WT_03__TO__SCA3_02,coupled,0.475,WT_03,SCA3_02,0.07005938294603643,0.22308459618281362,1.22677127241365,60.48399827013427,11.740428828306465,0.9748414087079325
WT_03__TO__SCA3_02,coupled,0.5,WT_03,SCA3_02,0.055915494015458644,0.23905308355026672,1.1664538690192603,58.68847170094981,11.831047826302184,0.9908568200589823
WT_03__TO__SCA3_02,coupled,0.525,WT_03,SCA3_02,0.04682745276559591,0.25525443697661826,1.217884734675795,58.08989997410011,11.911322400553654,0.9723944767553584
WT_03__TO__SCA3_02,coupled,0.55,WT_03,SCA3_02,0.049333709710166575,0.2573077148348424,1.190744354725123,58.72770970852118,12.062758779253867,0.9880996141743968
WT_03__TO__SCA3_02,coupled,0.5750000000000001,WT_03,SCA3_02,0.05724226119098554,0.25729988087634725,1.1288585663402864,60.64307831628802,12.184386060566135,0.982582501096238
WT_03__TO__SCA3_02,coupled,0.6000000000000001,WT_03,SCA3_02,0.06331540066282103,0.23323625885737378,1.0731308210430854,61.32387098551506,12.306991438686309,0.9777887965827288
WT_03__TO__SCA3_02,coupled,0.625,WT_03,SCA3_02,0.191191957435174,0.31387976892224007,1.0229661753198238,63.31220854922417,12.38247833385064,0.9795573785016328
WT_03__TO__SCA3_02,coupled,0.65,WT_03,SCA3_02,0.21372904042627205,0.43053493441965074,0.9806628090963933,65.34621451868102,12.6444533330269,0.9888000685056102
WT_03__TO__SCA3_02,coupled,0.675,WT_03,SCA3_02,0.2544845966908504,0.4691906634437592,0.9481420963121308,67.42748054973707,12.810211488190928,0.9863615214318048
